postal_code;latitude;longitude
175 62;59.3501;17.9658
175 63;59.3501;17.9658
175 67;59.3501;17.9658
176 71;59.3501;17.9658
176 72;59.3501;17.9658
176 74;59.3501;17.9658
176 77;59.3501;17.9658
177 30;59.3501;17.9658
177 31;59.3501;17.9658
177 33;59.3501;17.9658
177 37;59.3501;17.9658
177 38;59.3501;17.9658
177 41;59.3501;17.9658
177 44;59.4134902;17.8664311
177 45;59.4110851;17.8654968
177 52;59.3501;17.9658
177 57;59.3501;17.9658
177 58;59.3501;17.9658
177 64;59.3501;17.9658
178 00;59.291;17.8121
178 02;59.3251;17.8878
178 30;59.291;17.8121
178 34;59.291;17.8121
178 35;59.291;17.8121
178 39;59.291;17.8121
178 53;59.291;17.8121
178 91;59.3081;17.85
178 92;59.3081;17.85
179 60;59.3333;17.6667
179 75;59.3333;17.7333
179 97;59.3667;17.7333
181 31;59.3667;18.1333
181 32;59.3667;18.1333
181 33;59.3667;18.1333
181 34;59.3667;18.1333
181 35;59.3667;18.1333
181 36;59.3667;18.1333
181 37;59.3667;18.1333
181 39;59.3667;18.1333
181 40;59.3667;18.1333
181 44;59.3667;18.1333
181 46;59.3667;18.1333
181 47;59.3667;18.1333
181 50;59.3638346;18.1254992
181 51;59.3630923;18.1251176
181 58;59.3667;18.1333
181 60;59.3667;18.1333
181 61;59.3667;18.1333
181 62;59.3667;18.1333
181 64;59.3667;18.1333
182 03;59.3987;18.0294
182 31;59.3987;18.0294
182 32;59.3987;18.0294
182 33;59.3987;18.0294
182 34;59.3987;18.0294
182 36;59.3987;18.0294
182 48;59.4333;18.05
182 57;59.3987;18.0294
182 61;59.3993;18.0562
182 69;59.3993;18.0562
182 78;59.3833;18.0667
182 88;59.3326;18.0649
183 30;59.4439;18.0687
183 31;59.4439;18.0687
183 34;59.4439;18.0687
183 38;59.4353661;18.061445
183 52;59.4439;18.0687
183 54;59.4439;18.0687
183 61;59.4439;18.0687
183 62;59.4439;18.0687
183 64;59.4439;18.0687
183 68;59.4439;18.0687
183 69;59.4439;18.0687
183 71;59.4360563;18.0774666
183 79;59.4439;18.0687
184 00;59.4794;18.2997
184 30;59.4794;18.2997
184 32;59.4794;18.2997
184 34;59.4794;18.2997
184 36;59.4794;18.2997
184 40;59.4794;18.2997
184 41;59.4794;18.2997
184 50;59.4794;18.2997
184 60;59.4794;18.2997
184 91;59.4794;18.2997
184 95;59.5275;18.6211
184 97;59.5275;18.6211
185 31;59.4022;18.3532
185 32;59.4022;18.3532
185 34;59.4022;18.3532
185 35;59.4022;18.3532
185 41;59.4022;18.3532
185 94;59.4022;18.3532
186 31;59.5344;18.0776
186 36;59.5344;18.0776
186 38;59.5344;18.0776
186 42;59.5344;18.0776
186 51;59.5344;18.0776
186 55;59.5344;18.0776
186 70;59.5632;18.2403
186 94;59.5344;18.0776
186 96;59.5344;18.0776
187 34;59.4439;18.0687
187 40;59.4439;18.0687
187 46;59.4439;18.0687
187 52;59.4439;18.0687
187 65;59.4439;18.0687
187 66;59.4439;18.0687
187 74;59.4439;18.0687
187 75;59.4439;18.0687
190 45;59.6352;17.9125
190 47;59.6352;17.9125
190 60;59.6352;17.9125
191 34;59.428;17.9509
191 38;59.428;17.9509
191 40;59.428;17.9509
191 42;59.428;17.9509
191 47;59.428;17.9509
191 48;59.4258535;17.9530532
191 49;59.428;17.9509
191 50;59.428;17.9509
191 52;59.43911;17.9414801
191 60;59.428;17.9509
191 61;59.428;17.9509
191 62;59.428;17.9509
191 63;59.428;17.9509
192 07;59.428;17.9509
192 51;59.428;17.9509
192 52;59.428;17.9509
192 56;59.428;17.9509
192 68;59.428;17.9509
192 70;59.428;17.9509
192 78;59.428;17.9509
193 30;59.6173;17.7236
194 33;59.5204;17.9083
194 34;59.5204;17.9083
194 36;59.5204;17.9083
194 45;59.5204;17.9083
194 46;59.5204;17.9083
194 47;59.5204;17.9083
194 54;59.5204;17.9083
194 55;59.5204;17.9083
194 61;59.5204;17.9083
194 63;59.5204;17.9083
194 70;59.5178708;17.9210607
194 73;59.5204;17.9083
194 77;59.5204;17.9083
194 89;59.5204;17.9083
194 91;59.5204;17.9083
195 03;59.6167;17.85
195 30;59.6167;17.85
195 31;59.6167;17.85
195 40;59.6167;17.85
195 43;59.6167;17.85
195 47;59.6167;17.85
195 53;59.6167;17.85
195 60;59.6068;17.8585
195 61;59.6068;17.8585
195 70;59.5833;17.8833
195 71;59.5833;17.8833
195 72;59.5833;17.8833
195 93;59.6167;17.85
196 30;59.4786;17.7483
196 34;59.4786;17.7483
196 35;59.4786;17.7483
196 36;59.4786;17.7483
196 40;59.4786;17.7483
197 30;59.5167;17.6333
197 31;59.5167;17.6333
197 32;59.5167;17.6333
197 40;59.5167;17.6333
211 15;55.6059;13.0007
211 17;55.6059;13.0007
211 19;55.6059;13.0007
211 20;55.6059;13.0007
211 22;55.6059;13.0007
211 24;55.6059;13.0007
211 25;55.6059;13.0007
211 26;55.6059;13.0007
211 27;55.6059;13.0007
211 28;55.6059;13.0007
211 29;55.6059;13.0007
211 33;55.6059;13.0007
211 34;55.6059;13.0007
211 36;55.6059;13.0007
211 38;55.6059;13.0007
211 39;55.6059;13.0007
211 41;55.6059;13.0007
211 42;55.6059;13.0007
211 43;55.6059;13.0007
211 44;55.6059;13.0007
211 45;55.6059;13.0007
211 46;55.6059;13.0007
211 50;55.6059;13.0007
211 53;55.6059;13.0007
211 54;55.6059;13.0007
211 56;55.6059;13.0007
211 75;55.6151835;12.9838134
211 77;55.6121886;12.9821772
212 12;55.6059;13.0007
212 14;55.6059;13.0007
212 18;55.6059;13.0007
212 20;55.6059;13.0007
212 21;55.6059;13.0007
212 24;55.6059;13.0007
212 27;55.6059;13.0007
212 28;55.6059;13.0007
212 31;55.6059;13.0007
212 32;55.6059;13.0007
212 34;55.6059;13.0007
212 35;55.6059;13.0007
212 37;55.6059;13.0007
212 41;55.6059;13.0007
212 43;55.6059;13.0007
212 44;55.5974;13.0696459
213 61;55.6059;13.0007
213 63;55.6059;13.0007
213 65;55.6059;13.0007
213 73;55.6059;13.0007
213 75;55.6059;13.0007
213 76;55.6059;13.0007
214 01;55.604981;13.003822
214 20;55.6059;13.0007
214 25;55.6059;13.0007
214 26;55.6059;13.0007
214 27;55.6059;13.0007
214 28;55.6059;13.0007
214 29;55.6059;13.0007
214 31;55.6059;13.0007
214 32;55.6059;13.0007
214 33;55.6059;13.0007
214 35;55.6059;13.0007
214 37;55.6059;13.0007
214 43;55.6059;13.0007
214 44;55.6059;13.0007
214 45;55.6059;13.0007
214 48;55.6059;13.0007
214 49;55.6059;13.0007
214 55;55.6059;13.0007
214 58;55.6059;13.0007
214 63;55.6059;13.0007
215 26;55.6059;13.0007
215 32;55.6059;13.0007
215 33;55.561833;12.9775507
215 52;55.6059;13.0007
215 58;55.6059;13.0007
215 59;55.6059;13.0007
215 60;55.6059;13.0007
215 64;55.6059;13.0007
215 71;55.6059;13.0007
215 73;55.6059;13.0007
215 74;55.6059;13.0007
215 85;55.6059;13.0007
216 14;55.5833;12.95
216 15;55.5833;12.95
216 16;55.5833;12.95
216 22;55.5833;12.95
216 33;55.5678855;12.9441569
216 42;55.5833;12.95
216 47;55.5889832;12.9331961
216 48;55.5833;12.95
217 41;55.6059;13.0007
217 43;55.6059;13.0007
217 45;55.6059;13.0007
217 46;55.6059;13.0007
217 47;55.6059;13.0007
217 48;55.6059;13.0007
217 49;55.6059;13.0007
217 51;55.6059;13.0007
217 52;55.6059;13.0007
217 57;55.6059;13.0007
217 58;55.6059;13.0007
217 61;55.6059;13.0007
217 62;55.6059;13.0007
217 65;55.6059;13.0007
217 66;55.6059;13.0007
217 67;55.6059;13.0007
217 71;55.6059;13.0007
217 73;55.6059;13.0007
218 37;55.5333;12.95
218 41;55.5333;12.95
218 45;55.55;12.9667
218 53;55.5333;12.9167
221 85;55.7028;13.1927
222 21;55.7028;13.1927
222 22;55.7028;13.1927
222 23;55.7028;13.1927
222 24;55.7028;13.1927
222 28;55.7028;13.1927
222 29;55.7028;13.1927
222 37;55.7028;13.1927
222 40;55.7028;13.1927
222 70;55.7028;13.1927
223 51;55.7028;13.1927
223 54;55.7028;13.1927
223 58;55.7028;13.1927
223 59;55.7028;13.1927
223 61;55.7028;13.1927
223 63;55.7028;13.1927
224 57;55.7028;13.1927
224 68;55.7028;13.1927
224 71;55.7028;13.1927
224 76;55.7028;13.1927
224 78;55.7028;13.1927
226 43;55.7028;13.1927
226 47;55.7028;13.1927
226 52;55.7028;13.1927
226 60;55.7028;13.1927
227 30;55.7028;13.1927
227 31;55.7028;13.1927
227 61;55.7028;13.1927
227 62;55.7028;13.1927
230 32;55.5708;13.0667
230 40;55.5833;13.2
230 41;55.6;13.25
231 22;55.3751;13.1569
231 32;55.3751;13.1569
231 34;55.3751;13.1569
231 42;55.3751;13.1569
231 43;55.3751;13.1569
231 51;55.3751;13.1569
231 52;55.3751;13.1569
231 53;55.3751;13.1569
231 56;55.3751;13.1569
231 61;55.3751;13.1569
231 62;55.3751;13.1569
231 63;55.3751;13.1569
231 64;55.3751;13.1569
231 66;55.3751;13.1569
231 70;55.4333;13.3333
231 75;55.5333;13.4333
231 76;55.5333;13.4333
231 78;55.3333;13.3833
231 92;55.3751;13.1569
232 31;55.6325;13.0714
232 34;55.6325;13.0714
232 35;55.6325;13.0714
232 37;55.6325;13.0714
232 39;55.6325;13.0714
232 61;55.6325;13.0714
233 31;55.5079;13.2351
233 35;55.5079;13.2351
233 38;55.5079;13.2351
233 51;55.5079;13.2351
233 61;55.5833;13.2
234 31;55.6724;13.0685
234 32;55.6724;13.0685
234 35;55.6724;13.0685
234 40;55.6781127;13.0675077
234 43;55.6724;13.0685
235 31;55.4712;13.0197
235 32;55.4712;13.0197
235 35;55.4712;13.0197
235 37;55.4712;13.0197
236 32;55.4167;12.95
236 34;55.4167;12.95
236 41;55.4167;12.95
236 51;55.4167;12.95
237 31;55.7167;13.0167
237 91;55.7167;13.0167
238 30;55.5333;13.1
238 41;55.5333;13.1
238 43;55.5333;13.1
239 30;55.4167;12.85
239 40;55.3833;12.8333
239 41;55.3833;12.8333
239 42;55.3833;12.8333
240 14;55.6333;13.4833
241 30;55.8393;13.3039
241 31;55.8393;13.3039
241 32;55.8393;13.3039
241 34;55.8393;13.3039
241 37;55.8393;13.3039
241 38;55.8393;13.3039
241 39;55.8393;13.3039
241 40;55.8516647;13.3243595
241 61;55.7833;13.5
241 62;55.7811366;13.5387143
241 65;55.7167;13.5333
241 72;55.8600896;13.1722537
241 93;55.8393;13.3039
242 31;55.8524;13.6609
242 32;55.8524;13.6609
